koi,kepid,prot,prot_ref,prot_numflag,a18_prot,m13_prot,m15_prot,w13_prot
2218,12058204.0,26.74,a18,2.0,26.74,,26.4,30.55
2219,5357545.0,42.53,a18,3.0,42.53,42.24,43.21,
2220,6871071.0,,,1.0,,,2.75,
2228,10801100.0,,,0.0,,9.51,,9.77
2236,10723367.0,,,1.0,,,50.86,
2246,9458343.0,,,1.0,15.99,,47.22,
2250,5942808.0,24.02,a18,3.0,24.02,24.32,24.12,
2252,6206214.0,,,1.0,22.58,,70.67,
2260,11811193.0,,,1.0,17.77,,59.42,
2261,,,,0.0,,,,
2273,9717943.0,12.46,a18,3.0,12.46,12.57,12.55,
2278,3342794.0,,,1.0,32.7,,153.55,
2279,3661886.0,,,1.0,24.78,,52.26,
2281,,,,0.0,,,,
2289,3867615.0,,,1.0,17.04,,17.14,
2290,12121570.0,,,1.0,16.02,,36.98,
2295,4049901.0,,,1.0,46.87,,51.55,
2300,10583761.0,29.23,a18,3.0,29.23,28.69,28.8,13.88
2312,,,,0.0,,,,
2319,9003401.0,,,1.0,13.21,,13.01,
2331,12401863.0,,,1.0,20.13,,65.31,
2332,5534941.0,,,1.0,2.25,,76.0,
2333,11121752.0,,,1.0,22.02,,15.52,
2339,,,,0.0,,,,
2342,10212441.0,,,1.0,20.49,,83.38,
2352,8013439.0,10.24,a18,2.0,10.24,,,
2357,7449554.0,,,1.0,,,48.91,
2358,5716932.0,5.88,m15,2.0,6.15,5.83,5.88,
2365,11560897.0,,,1.0,17.62,,36.67,
2366,11342416.0,9.39,a18,2.0,9.39,,8.76,
2367,9086251.0,,,1.0,10.25,11.22,7.72,
2369,5602588.0,,,1.0,12.88,,8.41,
2370,5385304.0,,,1.0,20.61,1.78,,
2372,12254909.0,,,1.0,19.57,,35.45,
2374,9364290.0,,,1.0,41.4,,75.73,
2389,8494617.0,,,1.0,8.16,,61.6,
2390,10289119.0,,,1.0,17.26,29.07,29.36,29.94
2393,4665571.0,,,1.0,34.51,,40.54,
2396,12115188.0,,,0.0,30.14,,29.41,
2398,6199056.0,1.54,a18,2.0,1.54,1.34,2.67,
2399,11461433.0,27.91,a18,2.0,27.91,27.78,28.03,24.96
2403,2142522.0,10.54,a18,2.0,10.54,10.38,10.35,
2407,12120484.0,14.73,a18,2.0,14.73,,14.15,
2408,6429812.0,,,1.0,20.43,,34.39,
2409,10024051.0,,,1.0,31.88,,21.83,
2410,,,,0.0,,,,
2414,8611832.0,,,1.0,24.63,,48.22,
2422,11360805.0,,,1.0,21.81,,33.72,33.26
2426,8081899.0,,,1.0,14.53,,59.59,14.7
2433,11968463.0,,,1.0,23.38,,25.11,
2440,5339567.0,,,1.0,23.61,,28.49,
2442,11080405.0,,,1.0,,,39.04,
2443,9209624.0,,,1.0,20.02,,70.49,
2462,5042210.0,,,1.0,22.6,,51.38,
2469,6149910.0,37.31,a18,2.0,37.31,36.82,36.61,16.66
2470,9108085.0,,,0.0,20.86,,64.38,
2473,8753896.0,27.56,m15,3.0,,28.05,27.56,13.88
2479,5963582.0,,,1.0,19.86,,58.01,
2481,,,,0.0,,,,
2484,10453588.0,,,1.0,19.4,,107.47,
2488,8559152.0,,,1.0,6.85,,15.22,
2492,11752632.0,,,1.0,39.07,,50.56,
2498,5959719.0,,,1.0,25.27,,65.57,
2503,8631504.0,,,1.0,19.27,,77.02,
2516,7294743.0,,,1.0,34.92,,47.02,
2517,8947520.0,20.24,a18,3.0,20.24,20.18,20.14,19.72
2521,7183745.0,,,1.0,16.99,,50.14,
