 1867521 16.820 0.016 2052524364929124096 291.279 0.024 37.387 0.028   -6.287  3.388   9.224   2.014 1.752 0.788 5597.535  4.330 0.006
 1867630  0.859 0.007 2051773845167236352 291.310 0.018 37.381 0.024  -12.067  1.312   9.487   2.106 1.753 0.151 7036.835  2.126 0.014
 1867645 11.928 0.055 2051773879526977280 291.314 0.021 37.387 0.027   -6.679  3.368   5.839   0.980 1.733 0.516 4770.781  6.386 0.025
 1867740  9.671 0.046 2051773501569851904 291.338 0.013 37.348 0.017    9.340         10.149   2.341 1.757 0.526 6007.081  4.516 0.019
 1868524  9.771 0.007 2051770374833464832 291.513 0.024 37.309 0.029    0.087          6.661   1.206 1.738 0.398 4998.718  6.322 0.024
 1868579 38.173 0.377 2051770168675039232 291.528 0.025 37.301 0.030   -3.517  3.362  23.118   8.564 1.804 1.432 4063.727  7.571 0.002
 1868785 24.219 0.232 2051770615351672064 291.574 0.018 37.316 0.023   -2.001  0.236   9.681   2.174 1.754 2.568 5875.987  3.982 0.004
 1869231  9.307 0.042 2051782263303420416 291.672 0.027 37.347 0.033  -16.046          7.368   1.414 1.742 0.505 5814.946  4.987 0.020
 1869607 11.052 0.228 2051781610468412928 291.754 0.014 37.312 0.018  -29.880         10.686   2.539 1.759 1.500 6210.568  2.697 0.002
 1869783 26.308 0.061 2051783568973540864 291.787 0.017 37.395 0.020  -14.088         13.783   3.792 1.773 1.235 4709.745  6.072 0.006
 1869933 15.458 0.031 2051780339158138368 291.822 0.018 37.369 0.021   11.852  3.299   7.293   1.391 1.742 0.769 5526.427  5.319 0.012
 1870480 15.881 0.099 2051732476041012736 291.931 0.029 37.311 0.041   -3.235  3.338   8.484   1.766 1.748 0.777 5380.059  5.237 0.017
 1870952 24.278 0.273 2051738626434319872 292.028 0.023 37.379 0.030   -9.091  3.231  16.065   4.827 1.781 0.754 3907.782  8.200 0.003
 1870957  6.608 0.025 2051738626434572032 292.028 0.014 37.375 0.019    0.636  3.176  14.804   4.244 1.777 0.486 6104.613  3.527 0.005
 1871091 18.794 0.252 2051738351556420864 292.053 0.063 37.364 0.080   10.583  3.296   8.857   1.889 1.750 0.799 5136.999  5.184 0.008
 1871120 37.851 0.463 2051737492562927104 292.059 0.014 37.312 0.019  -11.247         17.156   5.353 1.785 1.451 3957.467  7.066 0.003
 1871176  1.796 0.005 2051737286404500480 292.071 0.013 37.304 0.016   -0.343         12.618   3.299 1.768 0.174 6459.496  2.752 0.007
 1872192  0.674 0.006 2051723714308062720 292.293 0.011 37.320 0.015   -2.848         12.540   3.267 1.768 0.039 5496.980  5.046 0.006
 1872349 26.383 0.639 2051723439430219520 292.324 0.019 37.306 0.021  -11.445  3.081  14.553   4.131 1.776 1.308 5080.065  5.627 0.010
 1872433 24.226 0.345 2051723576869159936 292.343 0.024 37.329 0.032  -14.215  3.209   8.417   1.744 1.748 1.269 5017.186  6.011 0.006
 1872530  6.709 0.386 2051817825630300416 292.360 0.015 37.388 0.019   -4.431  3.141  15.564   4.592 1.780 0.414 5974.996  3.436 0.003
 1872802 17.136 0.088 2051816451232380928 292.423 0.028 37.313 0.036  -13.659  3.270  13.967   3.872 1.773 0.869 5302.500  5.151 0.013
 1872885  1.872 0.003 2051817069716094464 292.441 0.030 37.347 0.036  -42.765  3.078   3.341   0.407 1.715 0.066 3583.765  7.979 0.001
 1873523 20.429 0.441 2051814458376084736 292.582 0.026 37.325 0.028  -25.918  3.045  12.812   3.380 1.769 0.643 3994.832  7.735 0.004
 1873543 11.548 0.112 2051815798405934336 292.584 0.070 37.395 0.080    3.186          5.057   0.782 1.727 0.399 3643.247  8.505 0.021
 1873656 11.082 0.027 2051815076851443968 292.614 0.030 37.383 0.033    0.565          5.965   1.014 1.733 0.338 4616.150  6.008 0.018
 1873925 12.001 0.403 2051627026006542848 292.679 0.021 37.333 0.024   -4.311  3.054   8.683   1.831 1.749 0.952 6026.675  4.252 0.020
 1874365  9.623 0.048 2051633176399731968 292.767 0.031 37.365 0.039   -5.055          8.190   1.670 1.747 0.490 5664.583  4.147 0.006
 1995126 24.202 0.346 2099083013008552448 286.035 0.026 37.461 0.034   18.622  4.583  11.807   2.972 1.764 1.720 5445.865  5.096 0.009
 1995155 21.113 0.470 2099082806850119936 286.042 0.027 37.450 0.032  -18.249          8.651   1.821 1.749 1.335 5646.038  5.255 0.010
 1995351  3.268 0.049 2099072498928987904 286.097 0.020 37.455 0.023   16.649  4.639   6.395   1.131 1.736 0.150 6050.925  3.956 0.007
 1995443 16.111 0.097 2099072155331249920 286.125 0.015 37.415 0.017    3.879  4.597  11.295   2.771 1.762 1.153 6016.496  4.415 0.008
 1995840 11.928 0.081 2099077962127147520 286.243 0.018 37.495 0.018   -2.518  0.864   8.216   1.679 1.747 0.646 5298.967  5.537 0.014
 1995845 17.910 2.626 2099071846093695488 286.245 0.020 37.460 0.022  -30.622         14.076   3.919 1.774 0.971 5854.029  3.966 0.003
